year_month,estimate,month_of_release,passenger_type,direction,sex,age,standard_error,status
2004-03,19,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,0,Final
2004-03,11,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,0,Final
2004-03,532,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,0,Final
2004-03,204,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,0,Final
2004-03,355,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,0,Final
2004-03,1420,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,0,Final
2004-03,1370,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,0,Final
2004-03,833,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,0,Final
2004-03,562,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,0,Final
2004-03,457,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,0,Final
2004-03,359,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,0,Final
2004-03,309,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,0,Final
2004-03,283,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,0,Final
2004-03,245,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,0,Final
2004-03,139,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,0,Final
2004-03,96,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,0,Final
2004-03,77,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,0,Final
2004-03,51,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,0,Final
2004-03,20,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,0,Final
2004-03,5,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,0,Final
2004-03,34,2020-09,Long-term migrant,Net,TOTAL,0-4 years,0,Final
2004-03,179,2020-09,Long-term migrant,Net,TOTAL,10-14 years,0,Final
2004-03,191,2020-09,Long-term migrant,Net,TOTAL,15-19 years,0,Final
2004-03,-571,2020-09,Long-term migrant,Net,TOTAL,20-24 years,0,Final
2004-03,-147,2020-09,Long-term migrant,Net,TOTAL,25-29 years,0,Final
2004-03,192,2020-09,Long-term migrant,Net,TOTAL,30-34 years,0,Final
2004-03,112,2020-09,Long-term migrant,Net,TOTAL,35-39 years,0,Final
2004-03,38,2020-09,Long-term migrant,Net,TOTAL,40-44 years,0,Final
2004-03,2,2020-09,Long-term migrant,Net,TOTAL,45-49 years,0,Final
2004-03,148,2020-09,Long-term migrant,Net,TOTAL,5-9 years,0,Final
2004-03,-35,2020-09,Long-term migrant,Net,TOTAL,50-54 years,0,Final
2004-03,-43,2020-09,Long-term migrant,Net,TOTAL,55-59 years,0,Final
2004-03,12,2020-09,Long-term migrant,Net,TOTAL,60-64 years,0,Final
2004-03,11,2020-09,Long-term migrant,Net,TOTAL,65-69 years,0,Final
2004-03,-35,2020-09,Long-term migrant,Net,TOTAL,70-74 years,0,Final
2004-03,-25,2020-09,Long-term migrant,Net,TOTAL,75-79 years,0,Final
2004-03,-1,2020-09,Long-term migrant,Net,TOTAL,80-84 years,0,Final
2004-03,6,2020-09,Long-term migrant,Net,TOTAL,85-89 years,0,Final
2004-03,6,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,0,Final
2004-03,4,2020-09,Long-term migrant,Departures,TOTAL,90+ years,0,Final
2004-03,2,2020-09,Long-term migrant,Net,TOTAL,90+ years,0,Final
2004-03,3593,2020-09,Long-term migrant,Arrivals,Female,TOTAL,0,Final
2004-03,3798,2020-09,Long-term migrant,Arrivals,Male,TOTAL,0,Final
2004-03,3394,2020-09,Long-term migrant,Departures,Female,TOTAL,0,Final
2004-03,3927,2020-09,Long-term migrant,Departures,Male,TOTAL,0,Final
2004-03,199,2020-09,Long-term migrant,Net,Female,TOTAL,0,Final
2004-03,-129,2020-09,Long-term migrant,Net,Male,TOTAL,0,Final
2004-03,7391,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,0,Final
2004-03,7321,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,0,Final
2004-03,70,2020-09,Long-term migrant,Net,TOTAL,TOTAL,0,Final
2004-04,218,2020-09,Long-term migrant,Arrivals,Female,0-4 years,0,Final
2004-04,233,2020-09,Long-term migrant,Arrivals,Male,0-4 years,0,Final
2004-04,217,2020-09,Long-term migrant,Arrivals,Female,10-14 years,0,Final
2004-04,261,2020-09,Long-term migrant,Arrivals,Male,10-14 years,0,Final
2004-04,347,2020-09,Long-term migrant,Arrivals,Female,15-19 years,0,Final
2004-04,334,2020-09,Long-term migrant,Arrivals,Male,15-19 years,0,Final
2004-04,348,2020-09,Long-term migrant,Arrivals,Female,20-24 years,0,Final
2004-04,374,2020-09,Long-term migrant,Arrivals,Male,20-24 years,0,Final
2004-04,496,2020-09,Long-term migrant,Arrivals,Female,25-29 years,0,Final
2004-04,456,2020-09,Long-term migrant,Arrivals,Male,25-29 years,0,Final
2004-04,430,2020-09,Long-term migrant,Arrivals,Female,30-34 years,0,Final
2004-04,414,2020-09,Long-term migrant,Arrivals,Male,30-34 years,0,Final
2004-04,310,2020-09,Long-term migrant,Arrivals,Female,35-39 years,0,Final
2004-04,345,2020-09,Long-term migrant,Arrivals,Male,35-39 years,0,Final
2004-04,227,2020-09,Long-term migrant,Arrivals,Female,40-44 years,0,Final
2004-04,279,2020-09,Long-term migrant,Arrivals,Male,40-44 years,0,Final
2004-04,156,2020-09,Long-term migrant,Arrivals,Female,45-49 years,0,Final
2004-04,191,2020-09,Long-term migrant,Arrivals,Male,45-49 years,0,Final
2004-04,203,2020-09,Long-term migrant,Arrivals,Female,5-9 years,0,Final
2004-04,234,2020-09,Long-term migrant,Arrivals,Male,5-9 years,0,Final
2004-04,115,2020-09,Long-term migrant,Arrivals,Female,50-54 years,0,Final
2004-04,120,2020-09,Long-term migrant,Arrivals,Male,50-54 years,0,Final
2004-04,93,2020-09,Long-term migrant,Arrivals,Female,55-59 years,0,Final
2004-04,95,2020-09,Long-term migrant,Arrivals,Male,55-59 years,0,Final
2004-04,68,2020-09,Long-term migrant,Arrivals,Female,60-64 years,0,Final
2004-04,53,2020-09,Long-term migrant,Arrivals,Male,60-64 years,0,Final
2004-04,50,2020-09,Long-term migrant,Arrivals,Female,65-69 years,0,Final
2004-04,29,2020-09,Long-term migrant,Arrivals,Male,65-69 years,0,Final
2004-04,28,2020-09,Long-term migrant,Arrivals,Female,70-74 years,0,Final
2004-04,32,2020-09,Long-term migrant,Arrivals,Male,70-74 years,0,Final
2004-04,19,2020-09,Long-term migrant,Arrivals,Female,75-79 years,0,Final
2004-04,18,2020-09,Long-term migrant,Arrivals,Male,75-79 years,0,Final
2004-04,12,2020-09,Long-term migrant,Arrivals,Female,80-84 years,0,Final
2004-04,4,2020-09,Long-term migrant,Arrivals,Male,80-84 years,0,Final
2004-04,2,2020-09,Long-term migrant,Arrivals,Female,85-89 years,0,Final
2004-04,3,2020-09,Long-term migrant,Arrivals,Male,85-89 years,0,Final
2004-04,5,2020-09,Long-term migrant,Arrivals,Female,90+ years,0,Final
2004-04,3,2020-09,Long-term migrant,Arrivals,Male,90+ years,0,Final
2004-04,216,2020-09,Long-term migrant,Departures,Female,0-4 years,0,Final
2004-04,240,2020-09,Long-term migrant,Departures,Male,0-4 years,0,Final
2004-04,149,2020-09,Long-term migrant,Departures,Female,10-14 years,0,Final
2004-04,129,2020-09,Long-term migrant,Departures,Male,10-14 years,0,Final
2004-04,175,2020-09,Long-term migrant,Departures,Female,15-19 years,0,Final
2004-04,166,2020-09,Long-term migrant,Departures,Male,15-19 years,0,Final
2004-04,634,2020-09,Long-term migrant,Departures,Female,20-24 years,0,Final
2004-04,614,2020-09,Long-term migrant,Departures,Male,20-24 years,0,Final
2004-04,636,2020-09,Long-term migrant,Departures,Female,25-29 years,0,Final
2004-04,677,2020-09,Long-term migrant,Departures,Male,25-29 years,0,Final
2004-04,386,2020-09,Long-term migrant,Departures,Female,30-34 years,0,Final
2004-04,412,2020-09,Long-term migrant,Departures,Male,30-34 years,0,Final
2004-04,252,2020-09,Long-term migrant,Departures,Female,35-39 years,0,Final
2004-04,287,2020-09,Long-term migrant,Departures,Male,35-39 years,0,Final
2004-04,198,2020-09,Long-term migrant,Departures,Female,40-44 years,0,Final
2004-04,249,2020-09,Long-term migrant,Departures,Male,40-44 years,0,Final
2004-04,177,2020-09,Long-term migrant,Departures,Female,45-49 years,0,Final
2004-04,159,2020-09,Long-term migrant,Departures,Male,45-49 years,0,Final
2004-04,200,2020-09,Long-term migrant,Departures,Female,5-9 years,0,Final
2004-04,187,2020-09,Long-term migrant,Departures,Male,5-9 years,0,Final
2004-04,147,2020-09,Long-term migrant,Departures,Female,50-54 years,0,Final
2004-04,131,2020-09,Long-term migrant,Departures,Male,50-54 years,0,Final
2004-04,94,2020-09,Long-term migrant,Departures,Female,55-59 years,0,Final
2004-04,116,2020-09,Long-term migrant,Departures,Male,55-59 years,0,Final
2004-04,58,2020-09,Long-term migrant,Departures,Female,60-64 years,0,Final
2004-04,63,2020-09,Long-term migrant,Departures,Male,60-64 years,0,Final
2004-04,46,2020-09,Long-term migrant,Departures,Female,65-69 years,0,Final
2004-04,41,2020-09,Long-term migrant,Departures,Male,65-69 years,0,Final
2004-04,33,2020-09,Long-term migrant,Departures,Female,70-74 years,0,Final
2004-04,23,2020-09,Long-term migrant,Departures,Male,70-74 years,0,Final
2004-04,23,2020-09,Long-term migrant,Departures,Female,75-79 years,0,Final
2004-04,14,2020-09,Long-term migrant,Departures,Male,75-79 years,0,Final
2004-04,9,2020-09,Long-term migrant,Departures,Female,80-84 years,0,Final
2004-04,10,2020-09,Long-term migrant,Departures,Male,80-84 years,0,Final
2004-04,7,2020-09,Long-term migrant,Departures,Female,85-89 years,0,Final
2004-04,1,2020-09,Long-term migrant,Departures,Male,85-89 years,0,Final
2004-04,3,2020-09,Long-term migrant,Departures,Female,90+ years,0,Final
2004-04,2,2020-09,Long-term migrant,Departures,Male,90+ years,0,Final
2004-04,2,2020-09,Long-term migrant,Net,Female,0-4 years,0,Final
2004-04,-7,2020-09,Long-term migrant,Net,Male,0-4 years,0,Final
2004-04,68,2020-09,Long-term migrant,Net,Female,10-14 years,0,Final
2004-04,132,2020-09,Long-term migrant,Net,Male,10-14 years,0,Final
2004-04,172,2020-09,Long-term migrant,Net,Female,15-19 years,0,Final
2004-04,168,2020-09,Long-term migrant,Net,Male,15-19 years,0,Final
2004-04,-286,2020-09,Long-term migrant,Net,Female,20-24 years,0,Final
2004-04,-240,2020-09,Long-term migrant,Net,Male,20-24 years,0,Final
2004-04,-140,2020-09,Long-term migrant,Net,Female,25-29 years,0,Final
2004-04,-221,2020-09,Long-term migrant,Net,Male,25-29 years,0,Final
2004-04,44,2020-09,Long-term migrant,Net,Female,30-34 years,0,Final
2004-04,2,2020-09,Long-term migrant,Net,Male,30-34 years,0,Final
2004-04,58,2020-09,Long-term migrant,Net,Female,35-39 years,0,Final
2004-04,58,2020-09,Long-term migrant,Net,Male,35-39 years,0,Final
2004-04,29,2020-09,Long-term migrant,Net,Female,40-44 years,0,Final
2004-04,30,2020-09,Long-term migrant,Net,Male,40-44 years,0,Final
2004-04,-21,2020-09,Long-term migrant,Net,Female,45-49 years,0,Final
2004-04,32,2020-09,Long-term migrant,Net,Male,45-49 years,0,Final
2004-04,3,2020-09,Long-term migrant,Net,Female,5-9 years,0,Final
2004-04,47,2020-09,Long-term migrant,Net,Male,5-9 years,0,Final
2004-04,-32,2020-09,Long-term migrant,Net,Female,50-54 years,0,Final
2004-04,-11,2020-09,Long-term migrant,Net,Male,50-54 years,0,Final
2004-04,-1,2020-09,Long-term migrant,Net,Female,55-59 years,0,Final
2004-04,-21,2020-09,Long-term migrant,Net,Male,55-59 years,0,Final
2004-04,10,2020-09,Long-term migrant,Net,Female,60-64 years,0,Final
2004-04,-10,2020-09,Long-term migrant,Net,Male,60-64 years,0,Final
2004-04,4,2020-09,Long-term migrant,Net,Female,65-69 years,0,Final
2004-04,-12,2020-09,Long-term migrant,Net,Male,65-69 years,0,Final
2004-04,-5,2020-09,Long-term migrant,Net,Female,70-74 years,0,Final
2004-04,9,2020-09,Long-term migrant,Net,Male,70-74 years,0,Final
2004-04,-4,2020-09,Long-term migrant,Net,Female,75-79 years,0,Final
2004-04,4,2020-09,Long-term migrant,Net,Male,75-79 years,0,Final
2004-04,3,2020-09,Long-term migrant,Net,Female,80-84 years,0,Final
2004-04,-6,2020-09,Long-term migrant,Net,Male,80-84 years,0,Final
2004-04,-5,2020-09,Long-term migrant,Net,Female,85-89 years,0,Final
2004-04,2,2020-09,Long-term migrant,Net,Male,85-89 years,0,Final
2004-04,2,2020-09,Long-term migrant,Net,Female,90+ years,0,Final
2004-04,1,2020-09,Long-term migrant,Net,Male,90+ years,0,Final
2004-04,451,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,0,Final
2004-04,478,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,0,Final
2004-04,681,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,0,Final
2004-04,722,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,0,Final
2004-04,952,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,0,Final
2004-04,844,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,0,Final
2004-04,655,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,0,Final
2004-04,506,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,0,Final
2004-04,347,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,0,Final
2004-04,437,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,0,Final
2004-04,235,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,0,Final
2004-04,188,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,0,Final
2004-04,121,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,0,Final
2004-04,79,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,0,Final
2004-04,60,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,0,Final
2004-04,37,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,0,Final
2004-04,16,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,0,Final
2004-04,5,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,0,Final
2004-04,456,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,0,Final
2004-04,278,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,0,Final
2004-04,341,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,0,Final
2004-04,1248,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,0,Final
2004-04,1313,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,0,Final
2004-04,798,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,0,Final
2004-04,539,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,0,Final
2004-04,447,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,0,Final
2004-04,336,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,0,Final
2004-04,387,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,0,Final
2004-04,278,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,0,Final
2004-04,210,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,0,Final
2004-04,121,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,0,Final
2004-04,87,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,0,Final
2004-04,56,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,0,Final
2004-04,37,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,0,Final
2004-04,19,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,0,Final
2004-04,8,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,0,Final
2004-04,-5,2020-09,Long-term migrant,Net,TOTAL,0-4 years,0,Final
2004-04,200,2020-09,Long-term migrant,Net,TOTAL,10-14 years,0,Final
2004-04,340,2020-09,Long-term migrant,Net,TOTAL,15-19 years,0,Final
2004-04,-526,2020-09,Long-term migrant,Net,TOTAL,20-24 years,0,Final
2004-04,-361,2020-09,Long-term migrant,Net,TOTAL,25-29 years,0,Final
2004-04,46,2020-09,Long-term migrant,Net,TOTAL,30-34 years,0,Final
2004-04,116,2020-09,Long-term migrant,Net,TOTAL,35-39 years,0,Final
2004-04,59,2020-09,Long-term migrant,Net,TOTAL,40-44 years,0,Final
2004-04,11,2020-09,Long-term migrant,Net,TOTAL,45-49 years,0,Final
2004-04,50,2020-09,Long-term migrant,Net,TOTAL,5-9 years,0,Final
2004-04,-43,2020-09,Long-term migrant,Net,TOTAL,50-54 years,0,Final
2004-04,-22,2020-09,Long-term migrant,Net,TOTAL,55-59 years,0,Final
2004-04,0,2020-09,Long-term migrant,Net,TOTAL,60-64 years,0,Final
2004-04,-8,2020-09,Long-term migrant,Net,TOTAL,65-69 years,0,Final
2004-04,4,2020-09,Long-term migrant,Net,TOTAL,70-74 years,0,Final
2004-04,0,2020-09,Long-term migrant,Net,TOTAL,75-79 years,0,Final
2004-04,-3,2020-09,Long-term migrant,Net,TOTAL,80-84 years,0,Final
2004-04,-3,2020-09,Long-term migrant,Net,TOTAL,85-89 years,0,Final
2004-04,8,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,0,Final
2004-04,5,2020-09,Long-term migrant,Departures,TOTAL,90+ years,0,Final
2004-04,3,2020-09,Long-term migrant,Net,TOTAL,90+ years,0,Final
2004-04,3344,2020-09,Long-term migrant,Arrivals,Female,TOTAL,0,Final
2004-04,3478,2020-09,Long-term migrant,Arrivals,Male,TOTAL,0,Final
2004-04,3443,2020-09,Long-term migrant,Departures,Female,TOTAL,0,Final
2004-04,3521,2020-09,Long-term migrant,Departures,Male,TOTAL,0,Final
2004-04,-99,2020-09,Long-term migrant,Net,Female,TOTAL,0,Final
2004-04,-43,2020-09,Long-term migrant,Net,Male,TOTAL,0,Final
2004-04,6822,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,0,Final
2004-04,6964,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,0,Final
2004-04,-142,2020-09,Long-term migrant,Net,TOTAL,TOTAL,0,Final
2004-05,246,2020-09,Long-term migrant,Arrivals,Female,0-4 years,0,Final
2004-05,233,2020-09,Long-term migrant,Arrivals,Male,0-4 years,0,Final
2004-05,170,2020-09,Long-term migrant,Arrivals,Female,10-14 years,0,Final
2004-05,200,2020-09,Long-term migrant,Arrivals,Male,10-14 years,0,Final
2004-05,203,2020-09,Long-term migrant,Arrivals,Female,15-19 years,0,Final
2004-05,203,2020-09,Long-term migrant,Arrivals,Male,15-19 years,0,Final
2004-05,404,2020-09,Long-term migrant,Arrivals,Female,20-24 years,0,Final
2004-05,349,2020-09,Long-term migrant,Arrivals,Male,20-24 years,0,Final
2004-05,540,2020-09,Long-term migrant,Arrivals,Female,25-29 years,0,Final
2004-05,513,2020-09,Long-term migrant,Arrivals,Male,25-29 years,0,Final
2004-05,462,2020-09,Long-term migrant,Arrivals,Female,30-34 years,0,Final
2004-05,430,2020-09,Long-term migrant,Arrivals,Male,30-34 years,0,Final
2004-05,300,2020-09,Long-term migrant,Arrivals,Female,35-39 years,0,Final
2004-05,356,2020-09,Long-term migrant,Arrivals,Male,35-39 years,0,Final
2004-05,195,2020-09,Long-term migrant,Arrivals,Female,40-44 years,0,Final
2004-05,268,2020-09,Long-term migrant,Arrivals,Male,40-44 years,0,Final
2004-05,168,2020-09,Long-term migrant,Arrivals,Female,45-49 years,0,Final
2004-05,195,2020-09,Long-term migrant,Arrivals,Male,45-49 years,0,Final
2004-05,208,2020-09,Long-term migrant,Arrivals,Female,5-9 years,0,Final
2004-05,221,2020-09,Long-term migrant,Arrivals,Male,5-9 years,0,Final
2004-05,114,2020-09,Long-term migrant,Arrivals,Female,50-54 years,0,Final
2004-05,129,2020-09,Long-term migrant,Arrivals,Male,50-54 years,0,Final
2004-05,93,2020-09,Long-term migrant,Arrivals,Female,55-59 years,0,Final
2004-05,85,2020-09,Long-term migrant,Arrivals,Male,55-59 years,0,Final
2004-05,60,2020-09,Long-term migrant,Arrivals,Female,60-64 years,0,Final
2004-05,59,2020-09,Long-term migrant,Arrivals,Male,60-64 years,0,Final
2004-05,49,2020-09,Long-term migrant,Arrivals,Female,65-69 years,0,Final
2004-05,41,2020-09,Long-term migrant,Arrivals,Male,65-69 years,0,Final
2004-05,39,2020-09,Long-term migrant,Arrivals,Female,70-74 years,0,Final
2004-05,21,2020-09,Long-term migrant,Arrivals,Male,70-74 years,0,Final
2004-05,13,2020-09,Long-term migrant,Arrivals,Female,75-79 years,0,Final
2004-05,17,2020-09,Long-term migrant,Arrivals,Male,75-79 years,0,Final
2004-05,14,2020-09,Long-term migrant,Arrivals,Female,80-84 years,0,Final
2004-05,8,2020-09,Long-term migrant,Arrivals,Male,80-84 years,0,Final
2004-05,2,2020-09,Long-term migrant,Arrivals,Female,85-89 years,0,Final
2004-05,2,2020-09,Long-term migrant,Arrivals,Male,85-89 years,0,Final
2004-05,2,2020-09,Long-term migrant,Arrivals,Female,90+ years,0,Final
2004-05,248,2020-09,Long-term migrant,Departures,Female,0-4 years,0,Final
2004-05,270,2020-09,Long-term migrant,Departures,Male,0-4 years,0,Final
2004-05,117,2020-09,Long-term migrant,Departures,Female,10-14 years,0,Final
2004-05,115,2020-09,Long-term migrant,Departures,Male,10-14 years,0,Final
2004-05,170,2020-09,Long-term migrant,Departures,Female,15-19 years,0,Final
2004-05,151,2020-09,Long-term migrant,Departures,Male,15-19 years,0,Final
2004-05,705,2020-09,Long-term migrant,Departures,Female,20-24 years,0,Final
2004-05,702,2020-09,Long-term migrant,Departures,Male,20-24 years,0,Final
2004-05,692,2020-09,Long-term migrant,Departures,Female,25-29 years,0,Final
2004-05,736,2020-09,Long-term migrant,Departures,Male,25-29 years,0,Final
2004-05,378,2020-09,Long-term migrant,Departures,Female,30-34 years,0,Final
2004-05,435,2020-09,Long-term migrant,Departures,Male,30-34 years,0,Final
2004-05,213,2020-09,Long-term migrant,Departures,Female,35-39 years,0,Final
2004-05,309,2020-09,Long-term migrant,Departures,Male,35-39 years,0,Final
2004-05,188,2020-09,Long-term migrant,Departures,Female,40-44 years,0,Final
2004-05,250,2020-09,Long-term migrant,Departures,Male,40-44 years,0,Final
2004-05,156,2020-09,Long-term migrant,Departures,Female,45-49 years,0,Final
2004-05,187,2020-09,Long-term migrant,Departures,Male,45-49 years,0,Final
2004-05,139,2020-09,Long-term migrant,Departures,Female,5-9 years,0,Final
2004-05,154,2020-09,Long-term migrant,Departures,Male,5-9 years,0,Final
2004-05,144,2020-09,Long-term migrant,Departures,Female,50-54 years,0,Final
2004-05,168,2020-09,Long-term migrant,Departures,Male,50-54 years,0,Final
2004-05,138,2020-09,Long-term migrant,Departures,Female,55-59 years,0,Final
2004-05,118,2020-09,Long-term migrant,Departures,Male,55-59 years,0,Final
2004-05,76,2020-09,Long-term migrant,Departures,Female,60-64 years,0,Final
2004-05,88,2020-09,Long-term migrant,Departures,Male,60-64 years,0,Final
2004-05,65,2020-09,Long-term migrant,Departures,Female,65-69 years,0,Final
2004-05,50,2020-09,Long-term migrant,Departures,Male,65-69 years,0,Final
2004-05,35,2020-09,Long-term migrant,Departures,Female,70-74 years,0,Final
2004-05,36,2020-09,Long-term migrant,Departures,Male,70-74 years,0,Final
2004-05,18,2020-09,Long-term migrant,Departures,Female,75-79 years,0,Final
2004-05,22,2020-09,Long-term migrant,Departures,Male,75-79 years,0,Final
2004-05,10,2020-09,Long-term migrant,Departures,Female,80-84 years,0,Final
2004-05,10,2020-09,Long-term migrant,Departures,Male,80-84 years,0,Final
2004-05,5,2020-09,Long-term migrant,Departures,Female,85-89 years,0,Final
2004-05,1,2020-09,Long-term migrant,Departures,Male,85-89 years,0,Final
2004-05,3,2020-09,Long-term migrant,Departures,Female,90+ years,0,Final
2004-05,1,2020-09,Long-term migrant,Departures,Male,90+ years,0,Final
2004-05,-2,2020-09,Long-term migrant,Net,Female,0-4 years,0,Final
2004-05,-37,2020-09,Long-term migrant,Net,Male,0-4 years,0,Final
2004-05,53,2020-09,Long-term migrant,Net,Female,10-14 years,0,Final
2004-05,85,2020-09,Long-term migrant,Net,Male,10-14 years,0,Final
2004-05,33,2020-09,Long-term migrant,Net,Female,15-19 years,0,Final
2004-05,52,2020-09,Long-term migrant,Net,Male,15-19 years,0,Final
2004-05,-301,2020-09,Long-term migrant,Net,Female,20-24 years,0,Final
2004-05,-353,2020-09,Long-term migrant,Net,Male,20-24 years,0,Final
2004-05,-152,2020-09,Long-term migrant,Net,Female,25-29 years,0,Final
2004-05,-223,2020-09,Long-term migrant,Net,Male,25-29 years,0,Final
2004-05,84,2020-09,Long-term migrant,Net,Female,30-34 years,0,Final
2004-05,-5,2020-09,Long-term migrant,Net,Male,30-34 years,0,Final
2004-05,87,2020-09,Long-term migrant,Net,Female,35-39 years,0,Final
2004-05,47,2020-09,Long-term migrant,Net,Male,35-39 years,0,Final
2004-05,7,2020-09,Long-term migrant,Net,Female,40-44 years,0,Final
2004-05,18,2020-09,Long-term migrant,Net,Male,40-44 years,0,Final
2004-05,12,2020-09,Long-term migrant,Net,Female,45-49 years,0,Final
2004-05,8,2020-09,Long-term migrant,Net,Male,45-49 years,0,Final
2004-05,69,2020-09,Long-term migrant,Net,Female,5-9 years,0,Final
2004-05,67,2020-09,Long-term migrant,Net,Male,5-9 years,0,Final
2004-05,-30,2020-09,Long-term migrant,Net,Female,50-54 years,0,Final
2004-05,-39,2020-09,Long-term migrant,Net,Male,50-54 years,0,Final
2004-05,-45,2020-09,Long-term migrant,Net,Female,55-59 years,0,Final
2004-05,-33,2020-09,Long-term migrant,Net,Male,55-59 years,0,Final
2004-05,-16,2020-09,Long-term migrant,Net,Female,60-64 years,0,Final
2004-05,-29,2020-09,Long-term migrant,Net,Male,60-64 years,0,Final
2004-05,-16,2020-09,Long-term migrant,Net,Female,65-69 years,0,Final
2004-05,-9,2020-09,Long-term migrant,Net,Male,65-69 years,0,Final
2004-05,4,2020-09,Long-term migrant,Net,Female,70-74 years,0,Final
2004-05,-15,2020-09,Long-term migrant,Net,Male,70-74 years,0,Final
2004-05,-5,2020-09,Long-term migrant,Net,Female,75-79 years,0,Final
2004-05,-5,2020-09,Long-term migrant,Net,Male,75-79 years,0,Final
2004-05,4,2020-09,Long-term migrant,Net,Female,80-84 years,0,Final
2004-05,-2,2020-09,Long-term migrant,Net,Male,80-84 years,0,Final
2004-05,-3,2020-09,Long-term migrant,Net,Female,85-89 years,0,Final
2004-05,1,2020-09,Long-term migrant,Net,Male,85-89 years,0,Final
2004-05,-1,2020-09,Long-term migrant,Net,Female,90+ years,0,Final
2004-05,-1,2020-09,Long-term migrant,Net,Male,90+ years,0,Final
2004-05,479,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,0,Final
2004-05,370,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,0,Final
2004-05,406,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,0,Final
2004-05,753,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,0,Final
2004-05,1053,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,0,Final
2004-05,892,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,0,Final
2004-05,656,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,0,Final
2004-05,463,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,0,Final
2004-05,363,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,0,Final
2004-05,429,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,0,Final
2004-05,243,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,0,Final
